FMP25	RCC2
BUR1	FYN
CYC8	KDM6B
KPC1	CDK4
ARK1	CDK2
NAM8	TIA1
TOR2	MTOR
SYNC	SYNC
SEC13	SEC13
IRA2	NF1
CTK1	EGFR
HSL1	FGFR1
PBP2	PCBP2
UBC11	UBE2C
UMP1	POMP
NRG1	KLF6
SSN3	CDK8
KAPA	CDK2
KIN28	NTRK2
KSP1	CDK2
SWD2	WDR82
IPL1	EGFR
BRE5	G3BP1
SLU7	SLU7
IMB3	IPO5
PKH2	CDK2
KIN28	FGFR2
PKH2	CDK6
IPL1	NTRK2
ARF1	ARF3
RAD7	FBXL2
PBP2	PCBP3
PHO23	ING4
KIN28	AKT1
CDC7	CDC7
ALN	DPYS
DBF20	CDK5
NIP80	CLIP1
MSN5	XPO5
YKT6	YKT6
RIX7	NVL
PGK	PGK1
CCH1	SCN5A
RCC1	RCC1
AP1B1	AP2B1
STP1	IKZF4
ACA1	ATF7
OLA1	OLA1
MPS1	CDK2
DBP2	DDX17
RPN2	PSMD1
PKH2	JAK2
AP2A	AP2A2
DBP9	DDX56
UTP13	TBL3
KAPA	CDK4
SYKC	SYK
ATG1	FGFR3
ERG24	LBR
PKH2	FGFR1
YPT1	RAB1B
CDC5	AKT1
PNO1	PNO1
CWH41	MOGS
MPS1	TBK1
FCF1	FCF1
KNS1	CLK3
STE20	PAK2
RPA1	RPA1
NRG2	KLF6
ABP1	HCLS1
PEP12	STX7
KIN28	FYN
YOX1	LBX1
KIN3	NEK2
MVP1	SNX8
DBF20	TBK1
CDC7	CDK2
SNC2	VAMP3
YOX1	MSX1
SCC1	RAD21
NOP14	NOP14
TSA2	PRDX2
KAPC	NTRK2
VDAC2	VDAC3
CAK1	ACVR1
FKH2	FOXK1
CDC15	FGFR2
CAPZB	CAPZB
HIR1	HIRA
MYO5	MYO1E
DBF20	CDK4
VPS45	VPS45
KAPC	ACVR1
BUR1	EGFR
RFX1	RFX1
ARK1	EGFR
MYO3	MYO1E
ARPC3	ARPC3
NSR1	RNPS1
MPC3	MPC2
UBC2	UBE2B
VPS72	VPS72
CBK1	FGFR1
HSL1	FYN
LAC1	CERS2
KU70	XRCC6
CDC7	CDK4
BUR1	FGFR3
KPC1	NTRK2
PIS	CDIPT
LCF4	ACSL4
CDK1	FGFR1
SMT3	SUMO2
SCS2	VAPA
NOP3	PSPC1
ATG1	FGFR2
RHO1	RHOA
MET30	FBXW7
DBP1	DDX3Y
MYO1	MYH1
SMC2	SMC2
ICT1	ABHD5
MPS1	CDK4
LSM2	LSM2
UTP5	WDR43
SLY1	SCFD1
CG23	CCNB1
IPL1	ACVR1
KIC1	CDK4
LUC7	LUC7L
KIN28	TBK1
PEP12	STX12
RPN8	PSMD7
NOP3	NONO
CTK1	TBK1
CBK1	CDK5
CDC15	FGFR1
ASNS1	ASNS
CTK1	JAK2
TECR	TECR
NOT3	CNOT3
KAPB	FGFR3
CBK1	TBK1
RAD4	XPC
UTP20	UTP20
CTK1	CDK4
MYO1	MYH3
DAP2	DPP4
UBX3	FAF1
UBC13	UBE2N
CDC7	CDK5
SNC1	VAMP2
ITC1	BAZ1A
CDC53	CUL1
BRE5	G3BP2
IPL1	FGFR3
KIN28	FGFR3
ATG7	ATG7
FRA2	BOLA2
CCH1	SCN8A
TSA1	PRDX2
MPS1	AKT1
CDC3	SEPT5
NOC4	NOC4L
PKH2	FGFR2
CMR1	WDR76
TKT2	TKT
CTK1	FGFR3
CDK1	FGFR2
